,date,dji
0,2023-02-14,1000000.0
1,2023-02-15,1001137.6380466131
2,2023-02-16,988488.5192863911
3,2023-02-17,992297.3378834272
4,2023-02-21,971848.0419000984
5,2023-02-22,969369.2560193234
6,2023-02-23,972561.4720449628
7,2023-02-24,962676.0070325466
8,2023-02-27,964793.0359317384
9,2023-02-28,957975.9164042295
10,2023-03-01,958126.7153233818
11,2023-03-02,968151.2911928275
12,2023-03-03,979515.5252414588
13,2023-03-06,980702.7802576714
14,2023-03-07,963835.8753149618
15,2023-03-08,962132.6267326836
16,2023-03-09,946188.0473980712
17,2023-03-10,936061.1436906293
18,2023-03-13,933406.3493449471
19,2023-03-14,943270.4435378939
20,2023-03-15,935032.3650461397
21,2023-03-16,945944.3169261588
22,2023-03-17,934663.0452008301
23,2023-03-20,945886.5068541891
24,2023-03-21,955156.8589501851
25,2023-03-22,939595.0636500923
26,2023-03-23,941799.2946598276
27,2023-03-24,945679.6739901543
28,2023-03-27,951386.7713825362
29,2023-03-28,950277.03571952
30,2023-03-29,959762.4137819211
31,2023-03-30,963911.2747745379
32,2023-03-31,976088.6312626099
33,2023-04-03,985681.0926000472
34,2023-04-04,979850.2392557776
35,2023-04-05,982206.98801733
36,2023-04-06,982282.3874769061
37,2023-04-10,985251.9573779918
38,2023-04-11,988134.6689350674
39,2023-04-12,987011.4690828412
40,2023-04-13,998252.2909461177
41,2023-04-14,994050.8909683708
42,2023-04-17,997005.2205531594
43,2023-04-18,996695.7160845954
44,2023-04-19,994360.1662592461
45,2023-04-20,991121.8855181816
46,2023-04-21,991777.2191189653
47,2023-04-24,993726.1461835096
48,2023-04-25,983618.2642242283
49,2023-04-26,976901.8682908948
50,2023-04-27,992281.7538005968
51,2023-04-28,1000260.8042097192
52,2023-05-01,998897.8844951324
53,2023-05-02,988127.106071341
54,2023-05-03,980198.1309871955
55,2023-05-04,971793.726787881
56,2023-05-05,987829.2896648998
57,2023-05-08,986195.7110999807
58,2023-05-09,984527.0683486934
59,2023-05-10,983632.9315963039
60,2023-05-11,977126.0040704249
61,2023-05-12,976865.1998607058
62,2023-05-15,978272.694635741
63,2023-05-16,968402.6991173107
64,2023-05-17,980389.723534933
65,2023-05-18,983767.3443107154
66,2023-05-19,980561.6068014437
67,2023-05-22,976453.2529653015
68,2023-05-23,969674.979056024
69,2023-05-24,962177.3163819765
70,2023-05-25,961142.6364120033
71,2023-05-26,970784.657424618
72,2023-05-30,969301.5340123181
73,2023-05-31,965355.6671574507
74,2023-06-01,969852.7063535962
75,2023-06-02,990421.9768569494
76,2023-06-05,984557.892747821
77,2023-06-06,984863.6157845217
78,2023-06-07,987554.7347938598
79,2023-06-08,992500.2747267543
80,2023-06-09,993766.7106344062
81,2023-06-12,999327.0197171879
82,2023-06-13,1003603.8191545107
83,2023-06-14,996774.8969760349
84,2023-06-15,1009351.5955866337
85,2023-06-16,1006155.9418956639
86,2023-06-20,998961.5958925858
87,2023-06-21,995959.1389931742
88,2023-06-22,995818.0801257911
89,2023-06-23,989385.520759889
90,2023-06-26,989012.4194827161
91,2023-06-27,995232.1873646778
92,2023-06-28,993059.1245206033
93,2023-06-29,1000972.5155219184
94,2023-06-30,1009338.1886918457
95,2023-07-03,1009656.9748568012
96,2023-07-05,1005848.5000262982
97,2023-07-06,995100.8685490635
98,2023-07-07,989604.0416860465
99,2023-07-10,995750.2435299414
100,2023-07-11,1005050.044958933
101,2023-07-12,1007573.0621336236
102,2023-07-13,1008972.6502783993
103,2023-07-14,1012313.602623993
104,2023-07-17,1014552.4394647187
105,2023-07-18,1025305.9149730148
106,2023-07-19,1028511.6524822866
107,2023-07-20,1033321.6338123261
108,2023-07-21,1033395.3144392371
109,2023-07-24,1038779.6150571116
110,2023-07-25,1039566.725828887
111,2023-07-26,1041973.6645042605
112,2023-07-27,1035009.5274894626
113,2023-07-28,1040189.172431345
114,2023-07-31,1043129.7513548125
115,2023-08-01,1045216.8725656316
116,2023-08-02,1035003.6834584014
117,2023-08-03,1033049.1415404843
118,2023-08-04,1028641.0232875472
119,2023-08-07,1040595.1607068436
120,2023-08-08,1035941.4785604846
121,2023-08-09,1030334.760995745
122,2023-08-10,1031883.3146381634
123,2023-08-11,1034970.7964600757
124,2023-08-14,1035740.2605498225
125,2023-08-15,
